Rank,Name,Platform,Year,Genre,Publisher
12272,ESPN Winter X-Games: Snowboarding 2002,GBA,2000,SPORTS,Konami Digital Entertainment
15142,Max Payne,PC,2001,SHOOTER,Take-Two Interactive
9706,One Piece: Pirate Warriors 2,PSV,2013,ACTION,Namco Bandai Games
15156,Rugby World Cup 2015,XONE,2015,SPORTS,Ubisoft
10348,Viewtiful Joe: Double Trouble!,DS,2005,ACTION,Capcom
7907,Sing4: The Hits Edition,WII,2011,MISC,Crave Entertainment
5371,Iron Man 2,DS,2010,ACTION,Sega
11820,Kengo: Legend of The 9,X360,2006,FIGHTING,Majesco Entertainment
9046,Phantom Brave,PS2,2004,ROLEPLAYING,Tecmo Koei
13041,Starry ? Sky: In Spring,PSP,2010,MISC,Asgard
6424,Dynasty Warriors Next,PSV,2011,ACTION,Tecmo Koei
3730,Valkyria Chronicles II,PSP,2010,ROLEPLAYING,Sega
2213,MLB 2000,PS,1999,SPORTS,Sony Computer Entertainment
3560,LEGO Dimensions,X360,2015,ACTION,Warner Bros. Interactive Entertainment
7172,Breath of Fire,GBA,2001,ROLEPLAYING,Ubisoft
10327,Railroad Tycoon II,PS,1999,STRATEGY,PopTop Software
5373,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,ADVENTURE,Disney Interactive Studios
1801,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,SIMULATION,Atari
3572,NCAA March Madness 07,PS2,2007,SPORTS,Electronic Arts
7697,Backyard Hockey,GBA,2003,SPORTS,Atari
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,_3DS,2015,MISC,Nintendo
2668,Duke Nukem Forever,PS3,2011,SHOOTER,Take-Two Interactive
14225,Tail Concerto,PS,1998,ADVENTURE,Namco Bandai Games
6930,LEGO Harry Potter: Years 5-7,PSV,2012,ACTION,Warner Bros. Interactive Entertainment
14266,Street Supremacy,PSP,2005,RACING,Konami Digital Entertainment
1005,Madden NFL 2000,PS,1998,SPORTS,Electronic Arts
7683,Bust-A-Move 2 Arcade Edition,PS,1995,PUZZLE,Acclaim Entertainment
11378,Face Racers: Photo Finish,_3DS,N/A,RACING,Majesco Entertainment
7713,X-Men Origins: Wolverine,DS,2009,ACTION,Activision
6755,SBK Superbike World Championship,PS3,2008,RACING,Black Bean Games
2122,Grand Theft Auto: San Andreas,PC,2005,ACTION,Take-Two Interactive
13723,S.Y.K Renshouden Portable,PSP,2011,ADVENTURE,Idea Factory
1033,Dishonored,X360,2012,ACTION,Bethesda Softworks
9400,My Spanish Coach,PSP,2008,MISC,Ubisoft
10702,Murder in Venice,DS,2011,ADVENTURE,City Interactive
1070,Dragon Ball Z: The Legacy of Goku,GBA,2002,ROLEPLAYING,Infogrames
7316,Afrika,PS3,2008,ADVENTURE,Unknown
498,World Soccer Winning Eleven 7 International,PS2,2003,SPORTS,Konami Digital Entertainment
6342,Reader Rabbit Kindergarten,DS,2008,MISC,Nordic Games
9304,Open Season,DS,2006,PLATFORM,Ubisoft
14509,Suzumiya Haruhi no Chokuretsu,DS,2009,ADVENTURE,Sega
12263,Disney's Chicken Little: Ace In Action,DS,2006,SHOOTER,Disney Interactive Studios
16331,Wedding Planner: Dream Weddings Guaranteed,DS,2010,SIMULATION,DTP Entertainment
5751,Super Robot Taisen Complete Box,PS,1999,STRATEGY,Banpresto
2018,Rayman Origins,PS3,2011,PLATFORM,Ubisoft
11960,Vanguard Bandits,PS,1998,STRATEGY,Human Entertainment
868,Hot Shots Golf: Open Tee,PSP,2004,SPORTS,Sony Computer Entertainment
8645,Victorious: Hollywood Arts Debut,DS,2011,MISC,D3Publisher
15429,Defendin' De Penguin,DS,2008,STRATEGY,Zushi Games
16092,Datenshi no Amai Yuuwaku x Kaikan Phrase,DS,2010,ADVENTURE,FuRyu
13355,Shaun the Sheep,DS,2008,ADVENTURE,D3Publisher
14541,Armored Core: Last Raven Portable,PSP,2010,SIMULATION,From Software
1567,Sonic Adventure DX: Director's Cut,GC,2003,PLATFORM,Sega
7184,Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,ROLEPLAYING,Tecmo Koei
16056,Banjo-Kazooie,X360,2008,PLATFORM,Microsoft Game Studios
646,Madden NFL 16,XONE,2015,SPORTS,Electronic Arts
10393,BlazBlue: Chrono Phantasma,PSV,2014,FIGHTING,Arc System Works
8076,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014,ROLEPLAYING,Atlus
11800,Smashing Drive,GC,N/A,RACING,Unknown
3170,Konami Collector's Series: Arcade Advanced,GBA,2002,MISC,Konami Digital Entertainment
14071,Astrology DS,DS,2009,MISC,Deep Silver
6346,NBA Jam 99,N64,1998,SPORTS,Acclaim Entertainment
9524,Nintendo Puzzle Collection,GC,N/A,PUZZLE,Unknown
11792,Margot's Word Brain,DS,2008,PUZZLE,Zoo Games
13681,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008,SIMULATION,Konami Digital Entertainment
3904,Fire Emblem: Radiant Dawn,WII,2007,STRATEGY,Nintendo
16046,Raven's Cry,PS4,2015,ROLEPLAYING,TopWare Interactive
10111,NHL Hitz 20-03,XB,2002,SPORTS,Midway Games
4652,International Superstar Soccer Pro '98,PS,1998,SPORTS,Konami Digital Entertainment
14458,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,_3DS,2012,ADVENTURE,ChunSoft
14460,S.L.A.I.: Steel Lancer Arena International,PS2,2005,SIMULATION,Konami Digital Entertainment
11385,Robotron X,PS,1996,SHOOTER,GT Interactive
9453,NeverDead,PS3,2012,SHOOTER,Konami Digital Entertainment
6947,NASCAR 2011: The Game,WII,2011,RACING,Activision
8236,Backyard Sports Football: Rookie Rush,DS,2010,SPORTS,Atari
13874,I'm A Celebrity: Get Me Out of Here!,DS,2009,MISC,Mindscape
10521,God Eater 2: Rage Burst,PS4,2015,ROLEPLAYING,Namco Bandai Games
4480,Power Rangers: S.P.D.,GBA,2004,ACTION,THQ
8739,Paris-Dakar Rally,PS2,2001,RACING,Acclaim Entertainment
6721,Shadow Man,PS,1998,ACTION,Acclaim Entertainment
699,Pro Evolution Soccer 2010,PS3,2009,SPORTS,Konami Digital Entertainment
14061,Kuroshitsuji: Phantom & Ghost,DS,2009,ACTION,Square Enix
3455,The Sims 3: World Adventures,PC,2009,SIMULATION,Electronic Arts
54,Super Mario 3D Land,_3DS,2011,PLATFORM,Nintendo
4642,Thrillville: Off the Rails,PS2,2007,STRATEGY,LucasArts
10451,Dancing on Ice,WII,2010,SPORTS,Ghostlight
16448,Wade Hixton's Counter Punch,GBA,2004,SPORTS,"Destination Software, Inc"
15203,Indigo Prophecy,PC,2005,ADVENTURE,Atari
15401,The Legend of Heroes: Trails in the Sky Second Chapter,PS3,2013,ROLEPLAYING,Falcom Corporation
2321,LittleBigPlanet Karting,PS3,2012,ACTION,Sony Computer Entertainment
13184,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,2007,ADVENTURE,505 Games
9485,Cabela's Alaskan Adventure,X360,2006,SPORTS,Activision
11497,Soul Bubbles,DS,2008,PUZZLE,Eidos Interactive
1315,SNK vs. Capcom: The Match of the Millennium,PSP,2006,FIGHTING,Sega
10390,Warriors Orochi 3,PSP,2012,ACTION,Ubisoft Annecy
12035,Circuit Breakers,PS,1998,RACING,Mindscape
1352,Disney's DuckTales,GB,1988,PLATFORM,Capcom
1688,Nuclear Strike,PS,1997,SIMULATION,Electronic Arts
13135,Dark Summit,GC,2002,SPORTS,THQ
15599,Ketsui: Kizuna Jigoku Tachi Extra,X360,2010,SHOOTER,5pb
944,NCAA Football 06,PS2,2005,SPORTS,Electronic Arts
8752,XGIII: Extreme G Racing,GC,2001,RACING,Acclaim Entertainment
16160,King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,FIGHTING,SNK Playmore
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,ACTION,Disney Interactive Studios
1957,DJ Hero,X360,2009,MISC,Activision
2134,NBA 2K10,X360,2009,SPORTS,Take-Two Interactive
1349,LEGO Indiana Jones 2: The Adventure Continues,WII,2009,ACTION,Activision
1009,Crackdown,X360,2007,SHOOTER,Microsoft Game Studios
14707,The Last Guy,PS3,2009,ACTION,Sony Computer Entertainment
3530,Naruto: Ultimate Ninja 2,PS2,2004,FIGHTING,Namco Bandai Games
2432,Army Men: Air Attack,PS,1999,ACTION,3DO
1882,LEGO Star Wars II: The Original Trilogy,DS,2006,ACTION,LucasArts
14734,Dave Mirra Freestyle BMX 3,GBA,2002,SPORTS,Acclaim Entertainment
9612,Warriors of Might and Magic,PS,2001,ADVENTURE,3DO
1692,Pro Evolution Soccer 2008,WII,2008,SPORTS,Konami Digital Entertainment
3175,Start the Party!,PS3,2010,MISC,Sony Computer Entertainment
6512,Power Pro Kun Pocket 5,GBA,2003,SPORTS,Konami Digital Entertainment
15127,To Love-Ru Trouble: Darkness - True Princess,PSV,2015,ACTION,FuRyu
10900,Digimon Rumble Arena 2,PS2,2004,FIGHTING,Atari
9111,Top Spin 3,DS,2008,ACTION,D3Publisher
14808,Galileo,DS,2008,ADVENTURE,D3Publisher
4898,Disney's Brother Bear,GBA,2003,ACTION,THQ
4421,The Thing,PS2,2002,ADVENTURE,Vivendi Games
14723,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,STRATEGY,Konami Digital Entertainment
751,Madden NFL 25,X360,2013,SPORTS,Electronic Arts
11250,MetropolisMania,PS2,2001,STRATEGY,Natsume
1450,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,SHOOTER,Ubisoft
12596,Jacqueline Wilson's Tracy Beaker: The Game,DS,2009,MISC,P2 Games
8387,World Tour Soccer 2006,PS2,2004,SPORTS,Sony Computer Entertainment
9771,Saru! Get You! Million Monkeys,PS2,N/A,PLATFORM,Unknown
12466,Kurupoto Cool Cool Stars,DS,2007,ACTION,Starfish
10649,Ultimate Marvel vs. Capcom 3,PS3,2011,FIGHTING,Capcom
2522,Rocket Power: Beach Bandits,PS2,2002,PLATFORM,THQ
4353,Rock Band Country Track Pack,WII,2009,MISC,MTV Games
1600,Baldur's Gate: Dark Alliance,PS2,2001,ROLEPLAYING,Virgin Interactive
16276,Battlestations: Midway,PC,2007,STRATEGY,Eidos Interactive
8842,Samurai Shodown Anthology,PS2,2008,FIGHTING,Ignition Entertainment
10555,Freaky Flyers,PS2,2003,RACING,Midway Games
2769,Tom Clancy's Rainbow Six: Vegas,PSP,2007,SHOOTER,Ubisoft
13141,"Warhammer 40,000: Dawn of War",PC,2004,STRATEGY,THQ
3687,Red Dead Revolver,XB,2004,SHOOTER,Take-Two Interactive
9777,Mountain Sports,WII,2009,SPORTS,Activision
12849,Princess on Ice,DS,2008,SPORTS,505 Games
14895,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,GBA,2006,ROLEPLAYING,Marvelous Interactive
5182,Valkyrie Profile: Lenneth,PSP,2006,ROLEPLAYING,Square Enix
5305,Mega Man ZX Advent,DS,2007,PLATFORM,Capcom
2470,Rocket Power: Team Rocket Rescue,PS,2001,SPORTS,THQ
12928,Domino Rally,WII,2007,ACTION,Nordcurrent
3595,Xenoblade Chronicles,_3DS,2015,ROLEPLAYING,Nintendo
6802,Ace Combat: Assault Horizon Legacy,_3DS,2011,SIMULATION,Namco Bandai Games
3759,Jewel Master Egypt,DS,2009,PUZZLE,Rondomedia
8741,Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007,ROLEPLAYING,Namco Bandai Games
12897,Major Minor's Majestic March,WII,2009,MISC,Majesco Entertainment
16186,Sakura-Sou no Pet na Kanojo,PSP,2013,ADVENTURE,Kadokawa Games
15561,Garfield's Nightmare,DS,2007,PLATFORM,Game Factory
15269,Shiratsuyu no Kai,PSP,2013,ADVENTURE,Idea Factory
5656,Rock Band Country Track Pack,PS2,2009,MISC,MTV Games
7712,101-in-1 Explosive Megamix,DS,2008,PUZZLE,Nordcurrent
10071,Stubbs the Zombie in Rebel Without a Pulse,XB,2005,ACTION,THQ
7934,Nobunaga no Yabou: Souzou,PS3,2013,STRATEGY,Tecmo Koei
11249,Monster House,GBA,2006,ADVENTURE,THQ
13040,Star Wars: Republic Commando,PC,2005,SHOOTER,LucasArts
4441,Need for Speed: Shift 2 Unleashed,X360,2011,RACING,Electronic Arts
7663,Pro Yaky? Spirits 2013,PSP,2013,SPORTS,Konami Digital Entertainment
693,Guild Wars 2,PC,2012,ACTION,NCSoft
14243,Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,2006,MISC,Daito
11646,Infernal: Hell's Vengeance,X360,2009,SHOOTER,Playlogic Game Factory
14974,Omega Quintet,PS4,2014,ROLEPLAYING,Compile Heart
906,Game Party 2,WII,2008,MISC,Midway Games
1399,WWE '13,PS3,2012,ACTION,THQ
5917,Showdown: Legends of Wrestling,PS2,2004,FIGHTING,Acclaim Entertainment
6290,Dragon Ball GT: Final Bout,PS,1997,FIGHTING,Namco Bandai Games
13849,Outlaw Volleyball Remixed,PS2,2004,SPORTS,Global Star
16401,Petz: Hamsterz Life 2,GBA,2007,MISC,Ubisoft
11708,WRC 2: FIA World Rally Championship,X360,2011,RACING,Ubisoft
3400,Total War: Shogun 2,PC,2011,STRATEGY,Sega
6041,The Lord of the Rings: The Third Age,GC,2004,ROLEPLAYING,Electronic Arts
6010,Imagine: Fashion Designer World Tour,DS,2009,SIMULATION,Ubisoft
1643,Cars,PSP,2006,RACING,THQ
16057,Samurai Shodown Anthology (JP sales),PS2,2008,FIGHTING,Ignition Entertainment
2201,Rocksmith 2014,X360,2013,MISC,Ubisoft
11401,Initial D: Extreme Stage,PS3,2008,RACING,Sega
3925,Picross DS,DS,2007,PUZZLE,Nintendo
5183,Tiger Woods PGA Tour 09,PSP,2008,SPORTS,Electronic Arts
8558,Eragon,DS,2006,ACTION,Vivendi Games
12580,Melty Blood: Actress Again,PS2,2009,FIGHTING,Ecole
1859,Lode Runner,NES,1984,PUZZLE,Hudson Soft
10063,Grease,DS,2010,MISC,505 Games
11443,Far Cry Vengeance,WII,2006,SHOOTER,Ubisoft
13359,Tom Clancy's Rainbow Six: Lockdown,GC,2005,SHOOTER,Ubisoft
12275,NanoBreaker,PS2,2005,ACTION,Konami Digital Entertainment
15920,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011,ROLEPLAYING,Gust
4653,Jimmy Neutron: Boy Genius,GBA,2001,PLATFORM,THQ
7175,NCAA Football 2005,GC,2004,SPORTS,Electronic Arts
9896,Self-Defense Training Camp,X360,2011,SPORTS,Ubisoft
185,Super Mario Land 3: Wario Land,GB,1994,PLATFORM,Nintendo
15549,Broken Sword: The Sleeping Dragon,XB,2003,ADVENTURE,THQ
1327,Dragon Ball Z,SNES,1993,FIGHTING,Namco Bandai Games
254,Resistance: Fall of Man,PS3,2006,SHOOTER,Sony Computer Entertainment
4381,Mobile Suit Gundam,PS,1995,ACTION,Namco Bandai Games
1822,Crackdown 2,X360,2010,SHOOTER,Microsoft Game Studios
15231,The Fast and the Furious,PSP,2007,RACING,Deep Silver
7097,Rampage 2: Universal Tour,PS,1998,ACTION,GT Interactive
12204,Tokobot,PSP,2005,PLATFORM,Take-Two Interactive
6526,Duke Nukem: Zero Hour,N64,1999,SHOOTER,GT Interactive
4318,Jikkyou Powerful Pro Yakyuu 3,SNES,1996,SPORTS,Konami Digital Entertainment
3449,Q*bert,_2600,1982,PUZZLE,Parker Bros.
5118,Panzer Dragoon,SAT,1995,SHOOTER,Sega
14033,Stadium Games,GBA,2003,SPORTS,Ignition Entertainment
9950,Tales of Destiny 2,PSP,2007,ROLEPLAYING,Namco Bandai Games
13643,Fashion Week Jr. Designer,DS,2009,SIMULATION,505 Games
15876,Thunder Force VI,PS2,2008,SHOOTER,Sega
11197,Counter-Strike: Source,PC,2004,SHOOTER,Vivendi Games
13665,Mortimer Beckett and the Secrets of Spooky Manor,WII,2008,PUZZLE,Avanquest
5568,Discovery Kids: Puppy Playtime,DS,2009,SIMULATION,505 Games
4412,Payday 2,PS3,2013,SHOOTER,505 Games
4431,DmC: Devil May Cry,X360,2013,ACTION,Capcom
5411,Rayman Legends,XONE,2014,PLATFORM,Ubisoft
10265,Death Jr.: Root of Evil,WII,2008,PLATFORM,Eidos Interactive
4978,Evil Dead: Fistfull of Boomstick,PS2,2003,ACTION,THQ
4683,Scooby-Doo and the Cyber Chase,GBA,2001,ADVENTURE,Ubisoft
9679,Mega Man X: Command Mission,GC,2004,ROLEPLAYING,Capcom
167,Call of Duty: World at War,PS3,2008,SHOOTER,Activision
16302,Moe Moe 2-Ji Daisenryaku 2,PSP,2010,STRATEGY,System Soft
2936,TimeSplitters 2,PS2,2002,SHOOTER,Eidos Interactive
8361,Tak: Mojo Mistake,DS,2008,ACTION,THQ
9358,NHL 2K9,PS3,2008,SPORTS,Take-Two Interactive
2989,Metro: Last Light,PS4,2014,ACTION,Deep Silver
10951,NHL 2K8,PS3,2007,SPORTS,Take-Two Interactive
1348,Disney Infinity,X360,2013,ACTION,Disney Interactive Studios
27,Pokemon Black/Pokemon White,DS,2010,ROLEPLAYING,Nintendo
10860,Populous: The Beginning,PS,1998,STRATEGY,Electronic Arts
1646,Golden Sun: The Lost Age,GBA,2002,ROLEPLAYING,Nintendo
16561,Pro Evolution Soccer 2008,PC,2007,SPORTS,Konami Digital Entertainment
6628,Zoo Resort 3D,_3DS,2011,SIMULATION,Ubisoft
10402,The First Templar,X360,2011,ACTION,Kalypso Media
3343,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,ROLEPLAYING,Capcom
6002,Ben 10 Ultimate Alien: Cosmic Destruction,WII,2010,PLATFORM,D3Publisher
8555,Alone in the Dark: The New Nightmare,PS,N/A,ADVENTURE,Infogrames
1846,Legend of Mana,PS,1999,ROLEPLAYING,SquareSoft
6697,The Mummy: Tomb of the Dragon Emperor,PS2,2008,ACTION,Vivendi Games
15278,World Championship Poker featuring Howard Lederer: All In,WII,2006,MISC,505 Games
10773,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,SPORTS,Konami Digital Entertainment
11311,From Russia With Love,PSP,2006,ACTION,Electronic Arts
12395,Chuck E. Cheese's Playhouse,DS,2010,MISC,UFO Interactive
8308,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,STRATEGY,Namco Bandai Games
5225,ESPN NFL Football,XB,2003,SPORTS,Sega
7508,World Championship Cards,PSP,2008,MISC,Crave Entertainment
9891,ArmA III,PC,2013,SHOOTER,Bohemia Interactive
14175,Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011,ROLEPLAYING,Hudson Soft
4165,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,FIGHTING,Namco Bandai Games
14720,Gintama: Banji Oku Chuubu!,WII,2007,ACTION,Namco Bandai Games
4869,Mass Effect 2,PC,2010,ROLEPLAYING,Electronic Arts
12143,Legends of Wrestling II,GBA,2002,FIGHTING,Acclaim Entertainment
15732,Goblin Commander: Unleash the Horde,GC,2003,STRATEGY,Jaleco
14219,3D Baseball,PS,1996,SPORTS,BMG Interactive Entertainment
15243,Ryu-koku,PS2,2006,ADVENTURE,KID
10668,Indigo Prophecy,XB,2005,ADVENTURE,Atari
1676,Dragon Ball Z: La Legende Saien,SNES,1993,FIGHTING,Namco Bandai Games
14357,Totally Spies!,GBA,2005,PLATFORM,Atari
7499,Attack on Titan (KOEI),PS4,2016,ACTION,Tecmo Koei
10399,Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2,2006,SPORTS,Konami Digital Entertainment
15091,RayCrisis: Series Termination,PS,1999,SHOOTER,JVC
14208,The Italian Job,GC,2003,RACING,Eidos Interactive
6269,Boogie,DS,2007,MISC,Electronic Arts
13990,Legasista,PS3,2012,ROLEPLAYING,Nippon Ichi Software
7301,Sniper: Ghost Warrior 2,X360,2013,SHOOTER,City Interactive
1062,Saints Row IV,X360,2013,ACTION,Deep Silver
1127,Pikmin,GC,2001,STRATEGY,Nintendo
2541,EA Sports Active NFL Training Camp,WII,2010,SPORTS,Electronic Arts
1684,PokéPark Wii: Pikachu's Adventure,WII,2009,ADVENTURE,Nintendo
12120,N+,DS,2007,PLATFORM,Atari
15945,UNO 52,DS,2006,MISC,Zoo Digital Publishing
15048,Lunatic Dawn Tempest,PS2,2001,ROLEPLAYING,ArtDink
12894,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,MISC,Sega
8079,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,MISC,Nintendo
8322,Bee Movie Game,X360,2007,ACTION,Activision
8494,Around the World in 80 Days,DS,2010,ACTION,PlayV
15889,Koihime Enbu,PS4,2016,FIGHTING,Yeti
3370,XCOM: Enemy Unknown,PS3,2012,STRATEGY,Take-Two Interactive
8391,Michael Jackson: The Experience 3D,_3DS,2011,MISC,Ubisoft
12509,CyberTiger,N64,2000,SPORTS,Electronic Arts
6913,Dynasty Warriors 6 Empires,X360,2009,ACTION,Tecmo Koei
5570,Bleach: Shattered Blade,WII,2006,FIGHTING,Sega
8690,NHL 2005,XB,2004,SPORTS,Electronic Arts
3381,The Fight: Lights Out,PS3,2010,FIGHTING,Sony Computer Entertainment
7492,Kung Fu Rider,PS3,2010,ACTION,Sony Computer Entertainment
16595,Plushees,DS,2008,SIMULATION,Destineer
6278,M&M's Blast!,GBA,2001,PUZZLE,Unknown
5186,LocoRoco 2,PSP,2008,PLATFORM,Sony Computer Entertainment
4109,World of Warcraft: Warlords of Draenor,PC,2014,ACTION,Activision Blizzard
8990,Dynasty Warriors 8: Xtreme Legends,PSV,2013,ACTION,Tecmo Koei
1163,Soul Edge,PS,1996,FIGHTING,Sony Computer Entertainment
12791,Mame Goma 2: Uchi no Ko ga Ichiban!,DS,2008,SIMULATION,Creative Core
1463,Need for Speed Carbon,PS2,2006,RACING,Electronic Arts
9496,DreamWorks Super Star Kartz,DS,2011,RACING,Activision
14178,Battle Engine Aquila,PS2,2003,SHOOTER,Atari
9814,My Farm Around the World,DS,2008,SIMULATION,Atari
13914,Darklight Conflict,PS,1997,SIMULATION,Electronic Arts
10958,Destroy All Humans! Path of the Furon,PS3,2009,ACTION,THQ
2058,Breath of Fire III,PS,1997,ROLEPLAYING,Capcom
11275,Escape Dead Island,PS3,2014,ACTION,Deep Silver
6985,Cabela's Big Game Hunter 2012,PS3,2011,SPORTS,Activision
12838,IL-2 Sturmovik: Cliffs of Dover,PC,2011,SIMULATION,Ubisoft
11220,Princess Isabella: A Witch's Curse,DS,2010,ADVENTURE,GSP
12454,S.T.A.L.K.E.R.: Call of Pripyat,PC,2009,SHOOTER,Namco Bandai Games
1031,Disney Infinity,WII,2013,ACTION,Disney Interactive Studios
11365,Godzilla Generations,DC,1998,ACTION,Sega
2377,Spec Ops: Ranger Elite,PS,2001,SHOOTER,TalonSoft
16449,Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008,ADVENTURE,Marvelous Interactive
12889,Goosebumps: The Game,_3DS,2015,ADVENTURE,WayForward Technologies
6924,PGA Tour 96,PS,1995,SPORTS,Electronic Arts
6954,Madagascar: Escape 2 Africa,PS3,2008,ACTION,Activision
8471,PoPoLoCrois: Hajimari no Bouken,PS2,2002,ROLEPLAYING,Sony Computer Entertainment
294,Namco Museum Vol.3,PS,1996,MISC,Sony Computer Entertainment
11320,Bomberman Jetters,GC,2002,PUZZLE,Hudson Soft
10685,Exhibition Volume 03,XB,2003,MISC,Microsoft Game Studios
5867,Looney Tunes: Duck Amuck,DS,2007,ACTION,Warner Bros. Interactive Entertainment
9806,X2: Wolverine's Revenge,GC,2003,PLATFORM,Activision
15482,Sotsugyou II: Neo Generation Special,_3DO,1995,SIMULATION,Imageworks
14906,Evangelion: Jo,PS2,2009,ACTION,Namco Bandai Games
16288,Root Double: Before Crime After Days,X360,2012,ACTION,Yeti
2239,MLB 07: The Show,PS2,2007,SPORTS,Sony Computer Entertainment
6514,Plants vs. Zombies,X360,2010,STRATEGY,PopCap Games
15796,Kaleidoeve,PSV,2015,ADVENTURE,HuneX
16087,The Legend of Heroes: Trails in the Sky Third Chapter,PS3,2013,ROLEPLAYING,Falcom Corporation
14653,Puzzle Challenge: Crosswords and More!,WII,2009,PUZZLE,Crave Entertainment
3155,NBA Live 06,XB,2005,SPORTS,Electronic Arts
8852,The Legend of Heroes: Trails of Cold Steel II,PSV,2014,ROLEPLAYING,Nippon Ichi Software
782,Need for Speed: Hot Pursuit 2,PS2,2002,RACING,Electronic Arts
13893,Ide Yosuke no Mahjong Kazoku,PS,1995,MISC,Seta Corporation
14344,Konami Classics Series: Arcade Hits,DS,2007,MISC,Konami Digital Entertainment
2497,The Price is Right,WII,2008,MISC,Ubisoft
7190,NFL Quarterback Club 97,PS,1996,SPORTS,Acclaim Entertainment
9434,The Unholy War,PS,1998,STRATEGY,Eidos Interactive
4698,Grudge Warriors,PS,1999,ACTION,Take-Two Interactive
293,World Soccer Winning Eleven 9,PS2,2005,SPORTS,Konami Digital Entertainment
1857,WWE SmackDown vs. Raw 2011,PS3,2010,FIGHTING,THQ
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,ROLEPLAYING,Nintendo
534,Battlefield 3,PC,2011,SHOOTER,Electronic Arts
5927,Alvin and the Chipmunks: The Squeakquel,DS,2009,MISC,Majesco Entertainment
7976,Harry Potter: Quidditch World Cup,XB,2003,SPORTS,Electronic Arts
15296,Moujuutsukai to Oujisama: Snow Bride,PS2,2011,ADVENTURE,Idea Factory
634,Need for Speed Carbon: Own the City,PSP,2006,RACING,Electronic Arts
9850,Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,2005,MISC,Vivendi Games
4911,Dancing with the Stars: We Dance!,DS,2008,MISC,Activision
7810,Avatar: The Last Airbender - Into the Inferno,WII,2008,ADVENTURE,THQ
13165,Active Life: Magical Carnival,WII,2011,MISC,Namco Bandai Games
1728,Mega Man 3,NES,1990,PLATFORM,Capcom
15491,Dynasty Warriors 8: Empires,PSV,2015,ACTION,Tecmo Koei
5082,Quake 4,X360,2005,SHOOTER,Activision
5336,Rally Cross 2,PS,1998,RACING,989 Studios
7342,Big League Sports,X360,2011,SPORTS,Activision
1267,Pac-Man World,PS,1998,ACTION,Namco Bandai Games
6868,Front Line,_2600,1981,ACTION,Taito
4907,Ener-G: Gym Rockets,DS,2008,SPORTS,Ubisoft
1703,NBA 2K17,PS4,2016,SPORTS,Take-Two Interactive
6832,Burnout 2: Point of Impact,XB,2003,RACING,Acclaim Entertainment
11976,Harry Potter and the Sorcerer's Stone,XB,2003,ACTION,Electronic Arts
15830,Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,2008,MISC,Sega
15185,Quake 4,PC,2005,SHOOTER,Activision
9666,Marvel Avengers: Battle for Earth,WIIU,2012,ACTION,Ubisoft
15343,Toki no Kizuna: Hanayui Tsuzuri,PSP,2013,ADVENTURE,Idea Factory
10056,Growlanser Generations,PS2,2003,ROLEPLAYING,Atlus
16123,Ninja Gaiden Sigma 2,PSV,2013,ACTION,Tecmo Koei
12418,MotoGP 10/11,X360,2011,RACING,Capcom
14797,Bully: Scholarship Edition,PC,2008,ACTION,Take-Two Interactive
3053,Pro Pinball: Big Race USA,PS,1999,SIMULATION,Take-Two Interactive
4285,Skylanders: SuperChargers,X360,2015,ACTION,Activision
9259,Daytona USA Championship Circuit Edition,SAT,1995,RACING,Sega
10826,Disney's Aladdin in Nasira's Revenge,PS,2000,ACTION,Sony Computer Entertainment
3162,The Lord of the Rings: Conquest,X360,2009,ACTION,Electronic Arts
